,,,,,,D4,C4,C5,C5,D4,C5,C5,D4,C4,,,,,,,,B10,C5,B19,B19,C4,C4,D4,G7,G7,B10,B12,B12,B10,B10,B19,B19,B19,B10,B10,G7,D4,C5,B19,B19,B19,B19,C4,G12,G12,B10
,,,,,D4,C4,C5,C5,C5,C5,C5,C5,C4,D4,C4,,,,,,,C5,B10,B19,B10,G12,G12,C4,D4,B10,B12,B12,B12,B12,B12,B10,B10,G7,B19,G7,D4,C5,B19,B19,B19,B19,B19,B19,G12,G12,G12
,,,,,C5,C5,C5,C5,C4,C4,C5,G12,G12,C5,D4,,,,,,,C5,B19,B10,G12,G12,G12,G12,C4,B12,B12,B12,B12,B12,B12,B12,B12,B19,G7,G7,G7,G7,B19,B19,C4,B10,B10,B19,C5,G12,G12
,,,,D4,C5,C5,C5,C4,B10,G12,G12,G12,G12,G12,D4,,,,,,,B19,B10,B10,G12,G12,B19,B19,B19,D4,G7,G7,B10,B10,B19,B19,B19,B10,B19,B12,B12,B19,G7,C4,B10,B10,G12,G12,B19,C5,G12
,,,,C5,C5,C5,C4,B10,B12,B12,B12,C5,C5,G12,G12,D4,,,,,,,,,,B19,B19,,,,,G7,G7,,,,,B12,B12,,,,,,G12,G12,,,,,
,,,,B10,C5,B10,G12,G7,B19,B19,C4,B12,B10,C5,G12,G12,,,,,D4,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B10,B10,G12,G12,G7,B19,B19,C4,C4,B12,G12,B10,C5,B19,G7,G7,,D4,C4,C4,B19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B12,G12,G12,G12,G7,B19,C4,C5,B10,C4,B12,G12,G12,G7,G12,B10,B12,C4,C5,C5,C4,B19,,,,,,,,,,,,,,,,,,,,,,,D4,,,,
,,B19,B19,B19,B19,G7,B19,B19,C5,C5,B10,B10,C4,G12,G12,G12,B10,B10,D4,C4,C5,C5,D4,D4,,,,,,,,,,,,,,,,,,,,,,D4,B19,D4,,,
,B19,C4,C4,C4,B19,B19,B12,B12,C5,C5,B10,B10,B10,C4,G12,G12,B10,D4,C4,C5,C5,D4,D4,D4,D4,,,,,,,,,,,,,,,,,,,,D4,B19,B19,B19,,,
B19,C4,B10,B10,D4,D4,B19,B12,C5,C5,B10,G12,B10,B10,B10,C4,B10,B12,D4,C5,C5,D4,D4,C4,C5,C5,D4,,,,,,,,,,,,,,,,,,,B19,B19,C4,C4,D4,,
C4,B10,B10,D4,C4,C4,D4,B19,C5,C5,G12,G12,G10,B10,B10,B10,G7,B12,C5,C5,C5,D4,C4,C5,C5,C5,B10,,,,,,,,,,,,,,,,,,,B19,B10,G12,G12,C4,D4,
C4,B10,B10,G12,C4,D4,C4,D4,B19,C5,G12,G12,G12,G10,G10,G7,B12,C5,C5,B19,B19,B19,C5,C5,C5,B10,G12,G12,,,,,,,,,,,,,,,,,B19,B10,G12,G12,G12,G12,C4,
C4,B10,G12,G12,C4,C5,C5,C4,B19,G12,G12,G12,G12,G10,G10,G10,G10,C5,B19,B19,B19,C5,C5,C5,B10,G12,G12,B10,D4,,,,,,,,,,,,,,,B19,B10,G12,G12,G12,B19,B19,B19,D4
B10,B10,G12,C4,C5,C5,C5,C5,B19,B19,B19,G12,G12,B12,B12,G10,G10,C5,B19,B19,B19,B19,B19,G7,B10,G12,G12,D4,C4,C4,,,,,,,,,,,,,,,,G7,,,,,G7,
B10,G12,C4,C5,D4,C4,C5,C5,C5,B19,B19,B12,B12,B12,B12,B12,G10,G7,B19,B19,B19,B19,B19,D4,D4,B10,D4,C5,B10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G12,C5,D4,B19,D4,C4,C5,C5,C5,B12,B19,B19,B19,B19,B12,B10,B10,G7,G7,B19,D4,D4,C4,C4,D4,G12,B10,B10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,C5,D4,B19,B19,B19,G7,C5,C5,B12,B10,B10,B10,B19,B19,B19,B12,B10,B10,G7,G7,C5,C4,B19,B19,C4,G12,G12,B19,B10,,,,,,,,,,,,,,,,,,,,,,
B10,C5,B19,B19,C4,C4,D4,G7,G7,B10,B12,B12,B10,B10,B19,B19,B19,B10,B10,G7,D4,C5,B19,B19,B19,B19,C4,G12,G12,B10,,,,,,,,,,,,,,,,,,,,,,
B10,B10,B19,B10,G12,G12,C4,D4,B10,B12,B12,B12,B12,B12,B10,B10,G7,B19,G7,D4,C5,B19,B19,B19,B19,B19,B19,G12,G12,B10,,,,,,,,,,,,,,,,,,,,,,
B10,B19,B10,G12,G12,G12,G12,C4,B12,B12,B12,B12,B12,B12,B12,B12,B19,G7,G7,G7,G7,B19,B19,C4,B10,B10,B19,C5,G12,B10,,,,,,,,,,,,,,,,,,,,,,
C5,B10,B10,G12,G12,B19,B19,B19,D4,G7,G7,B10,B10,B19,B19,B19,B10,B19,B12,B12,B19,G7,C4,B10,B10,G12,G12,B19,C5,G12,,,,,,,,,,,,,,,,,,,,,,
,,G12,,,,,,B19,,,,,,B10,,,,,,G7,,,,,,G12,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,C4,C4,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,D4,D4,D4,C5,C4,D4,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,D4,D4,G10,G10,G10,G10,G10,G10,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,D4,G10,G10,G10,G10,G10,G10,G10,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,D4,C4,G10,G10,G10,G10,G10,G10,G10,D4,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,C5,G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,G10,G10,G10,C4,B10,B10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G10,B19,B19,G10,D4,C5,G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,G10,G10,C4,B10,B10,B10,B10,G10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
B19,B19,B10,B19,C5,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G12,D4,C4,G12,B19,B19,B12,B10,B10,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
B19,B10,B10,B10,B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G12,B19,B19,B19,B12,D4,D4,B12,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
B10,G12,G12,B10,B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B19,G7,G7,B12,D4,C4,C4,B19,G10,G10,G10,G10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G12,G12,G7,B12,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,B12,C4,C5,C5,C4,B19,G10,B10,B10,G10,G10,,,,,,,,,,,,,,,,,,,,,,
G12,G7,B19,B19,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,D4,C5,C4,C4,B10,G10,,,,,,,,,,,,,,,,,,,,,,
B19,B19,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,D4,D4,G12,C5,C4,G10,,,,,,,,,,,,,,,,,,,,,,
B19,C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,C5,D4,B10,C5,C4,,,,,,,,,,,,,,,,,,,,,,
C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,B10,B10,B10,,,,,,,,,,,,,,,,,,,,,,
C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G12,G12,B10,B10,,,,,,,,,,,,,,,,,,,,,,
C4,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,D4,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,C4,C4,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
B10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,B10,,,,,,,,,,,,,,,,,,,,,,
C5,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G12,,B12,B12,B12,,,,,,,,,,,,,,,,,,
C5,,G12,,B19,,B19,,B10,,G7,,G7,,B10,,B12,,B12,,G7,,B10,,G12,,G12,,G12,,,B19,B19,C4,B12,,,,,,,,,D4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19,B19,C4,C4,B12,,,,,,,,D4,C4,C4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19,C4,C5,B10,C4,B12,,,,,,B12,C4,C5,C5,C4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,B19,B19,,,B19,B19,C5,C5,B10,B10,C4,,,,,,D4,C4,C5,C5,D4,D4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C4,C4,C4,B19,,B12,B12,C5,C5,B10,B10,B10,C4,,,,D4,C4,C5,C5,D4,D4,D4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,C4,B10,B10,D4,D4,B19,B12,C5,C5,B10,G12,B10,B10,B10,C4,,B12,D4,C5,C5,D4,D4,C4,C5,C5,,,,
,,,,,,,,,,,,,,,,,,,,,,C4,B10,B10,D4,C4,C4,D4,B19,C5,C5,G12,G12,G10,B10,B10,B10,,B12,C5,C5,C5,D4,C4,C5,C5,C5,B10,,,
,,,,,,,,,,,,,,,,,,,,,,C4,B10,B10,G12,C4,D4,C4,D4,B19,G12,G12,G12,G12,G10,G10,G7,B12,C5,C5,B19,B19,B19,C5,C5,C5,B10,G12,G12,,
,,,,,,,,,,,,,,,,,,,,,,B10,B10,G12,G12,C4,C5,C5,C4,B19,G12,G12,G12,G12,G10,G10,G10,G10,C5,B19,B19,B19,C5,C5,C5,B10,G12,G12,B10,D4,
,,,,,,,,,,,,,,,,,,,,,,B10,B10,G12,C4,C5,C5,C5,C5,B19,B19,B19,G12,G12,B12,B12,G10,G10,C5,B19,B19,B19,B19,B19,G7,B10,G12,G12,D4,C4,
,,,,,,,,,,,,,,,,,,,,,,B10,G12,C4,C5,D4,C4,C5,C5,C5,B19,B19,B12,B12,B12,B12,B12,G10,G7,B19,B19,B19,B19,B19,D4,D4,B10,D4,C5,B10,
,,,,,,,,,,,,,,,,,,,,,,B10,G12,C5,D4,B19,D4,C4,C5,C5,C5,B12,B19,B19,B19,B19,B12,B10,B10,G7,G7,B19,D4,D4,C4,C4,D4,G12,B10,B10,B10
,,,,,,,,,,,,,,,,,,,,,,B10,C5,D4,B19,B19,B19,G7,C5,C5,B12,B10,B10,B10,B19,B19,B19,B12,B10,B10,G7,G7,C5,C4,B19,B19,C4,G12,G12,B19,B10
,,,,,,,,,,,,,,,,,,,,,,B10,C5,B19,B19,C4,C4,D4,G7,G7,B10,B12,B12,B10,B10,B19,B19,B19,B10,B10,G7,D4,C5,B19,B19,B19,B19,C4,G12,G12,B10
,,,,,,,,,,,,,,,,,,,,,,B10,B10,B19,B10,G12,G12,C4,D4,B10,B12,B12,B12,B12,B12,B10,B10,G7,B19,G7,D4,C5,B19,B19,B19,B19,B19,B19,G12,G12,B10
,,,,,,,,,,,,,,,,,,,,,,C5,B19,B10,G12,G12,G12,G12,C4,B12,B12,B12,B12,B12,B12,B12,B12,B19,G7,G7,G7,G7,B19,B19,C4,B10,B10,B19,C5,G12,G12
,,,,,,,,,,,,,,,,,,,,,,C5,B10,B10,G12,G12,B19,B19,B19,D4,G7,G7,B10,B10,B19,B19,B19,B10,B19,B12,B12,B19,G7,C4,B10,B10,G12,G12,B19,C5,G12
,,,,,,,,,,,,,,,,,,,,,,,,G12,,,,,,B19,,,,,,B10,,,,,,G7,,,,,,G12,,,
